Date,Actual,ARIMA-Total,SARIMAX-Total,LightGBM-Total,ARIMA-Zone,SARIMAX-Zone,LightGBM-Zone,ARIMA-Type,SARIMAX-Type,LightGBM-Type,LSTM-Type,Transformer-Type,Transformer-Zone,LSTM-Total,Transformer-Total,LSTM-Zone
2019-06-29,4411.398833333333,4102.1386752518665,3470.4820487771667,2906.6854654197164,3475.6600584058024,3438.909567868681,3798.345924805216,3475.6600584058024,3309.139042212374,3965.746953719693,3202.3903198242188,4056.3670043945312,3537.1173706054688,4445.28955078,3825.27880859,4368.31626129
2019-06-30,3501.3283333333334,3185.8238123002666,3635.809278859955,2702.2891671746124,2912.615552802614,3523.8281875950206,3627.5253940512994,2912.615552802614,3050.102251656314,3252.5577113625764,3202.3903198242188,3274.626220703125,2724.068603515625,3516.55615234,3825.27880859,3491.23163605
2019-07-01,7550.628999999999,6260.374166588471,7040.348776264813,7583.715174866445,6587.915383659292,7543.7498975005,7655.184501064193,6587.915383659292,7604.089691820353,7650.706505293845,8129.422058105469,7837.4761962890625,7357.096252441406,7534.77783203,7336.02392578,7491.32351685
2019-07-02,7457.099500000001,8004.977239965515,7323.62171059076,8032.090238857615,8029.861891479002,7751.282054537829,8047.7458202334,8029.861891479002,7472.567084472627,7573.048473517281,8129.422058105469,7880.170349121094,7199.449523925781,7447.91845703,7336.02392578,7399.41363525
2019-07-03,7566.768833333333,7728.117007974512,7941.068363941494,8034.818848692321,7744.607141912691,8230.667613248452,7823.863650779078,7744.607141912691,7912.016899658023,7456.105535428323,8129.422058105469,7823.587585449219,7045.965393066406,7555.94482422,7336.02392578,7526.67346191
2019-07-04,7334.2959999999985,7849.821989181437,7736.236789131142,7740.75234069366,7772.663213262969,8215.712377955897,8173.059305873192,7772.663213262969,7824.301999585241,7681.797294672515,8129.422058105469,7785.784973144531,6465.504455566406,7293.19482422,7336.02392578,7358.1572876
2019-07-05,6862.277666666664,7890.912402245779,7931.67433073312,8269.317315882186,7578.818839110381,8056.146416821186,7845.654269631358,7578.818839110381,7741.405195256108,7421.043615284198,7670.876647949219,6816.130676269531,6058.550476074219,6835.39208984,7336.02392578,6848.03146362
2019-07-06,4119.097833333333,3799.477270654463,3677.078922833469,3484.417906375434,3795.9645093029626,3602.6264300078324,3942.619054390562,3795.9645093029626,3511.827550462928,3364.295567511394,3068.048797607422,4077.3501586914062,3266.450134277344,4051.3671875,3580.40380859,4217.26399231
2019-07-07,3155.638000000001,3145.290338110227,3283.768777103908,3212.0457866481543,3240.066657011196,3279.944062633146,3332.0830967913653,3240.066657011196,3225.185870068083,3153.4968018455297,3068.048797607422,3025.423828125,2828.5135498046875,3136.81494141,3580.40380859,3174.99357605
2019-07-08,7625.645666666662,6706.0842906561375,7621.442700290885,8152.883521689975,6385.004282180269,7479.552499023534,8064.843515927103,6385.004282180269,7465.051995501311,7629.2310692639485,7670.876403808594,7310.459228515625,7150.069946289063,7621.86865234,7300.73779297,7652.91729736
